Instance,Trucks Submitted,Flight Limit,Algorithm,Runs,Objective Mean,Objective Std,Paper Makespan Mean,Paper Makespan Std,Time Mean,Time Std,Seeds
MTLARP5_6_5_2.dat,4,996.000000,lns,3,2103.283005,35.968464,2103.283005,35.968464,113.859718,6.974967,0;1;2
MTLARP5_6_5_2.dat,4,996.000000,vnd,3,2113.810399,42.401694,2113.810399,42.401694,90.385937,13.586852,0;1;2
MTLARP5_6_5_2.dat,4,996.000000,vns,3,2118.539846,39.082105,2118.539846,39.082105,104.803496,7.931255,0;1;2
MTLARP5_6_6_1.dat,2,933.000000,lns,3,4404.636372,60.066519,4404.636372,60.066519,36.276056,27.276867,0;1;2
MTLARP5_6_6_1.dat,2,933.000000,vnd,3,4330.336639,176.451733,4330.336639,176.451733,29.701128,22.092142,0;1;2
MTLARP5_6_6_1.dat,2,933.000000,vns,3,4505.973165,36.759277,4505.973165,36.759277,53.410341,11.987558,0;1;2
MTLARP5_6_6_1.dat,3,933.000000,lns,3,2597.042580,37.302988,2597.042580,37.302988,55.916134,2.249645,0;1;2
MTLARP5_6_6_1.dat,3,933.000000,vnd,3,2575.318195,67.020231,2575.318195,67.020231,50.923125,9.592481,0;1;2
MTLARP5_6_6_1.dat,3,933.000000,vns,3,2621.843150,60.077284,2621.843150,60.077284,64.440958,6.294094,0;1;2
MTLARP5_6_6_1.dat,4,933.000000,lns,3,2107.661974,40.046252,2107.661974,40.046252,63.219847,4.167867,0;1;2
MTLARP5_6_6_1.dat,4,933.000000,vnd,3,2111.274265,54.954782,2111.274265,54.954782,51.650725,11.631261,0;1;2
MTLARP5_6_6_1.dat,4,933.000000,vns,3,2144.103133,19.199396,2144.103133,19.199396,65.063336,4.662316,0;1;2
MTLARP5_6_6_1.dat,5,933.000000,lns,3,1963.436495,13.123305,1963.436495,13.123305,64.948190,4.761483,0;1;2
MTLARP5_6_6_1.dat,5,933.000000,vnd,3,1953.292205,34.130381,1953.292205,34.130381,59.800799,11.394488,0;1;2
MTLARP5_6_6_1.dat,5,933.000000,vns,3,1974.970981,10.919036,1974.970981,10.919036,59.461267,4.224520,0;1;2
MTLARP5_6_6_2.dat,2,1232.000000,lns,3,3422.233918,0.310568,3422.233918,0.310568,71.943547,1.747006,0;1;2
MTLARP5_6_6_2.dat,2,1232.000000,vnd,3,3449.564379,47.493793,3449.564379,47.493793,51.977504,5.194942,0;1;2
MTLARP5_6_6_2.dat,2,1232.000000,vns,3,3425.365631,5.586049,3425.365631,5.586049,82.438829,4.597309,0;1;2
MTLARP5_6_6_2.dat,3,1232.000000,lns,3,2505.227830,0.000000,2505.227830,0.000000,87.101368,5.607035,0;1;2
MTLARP5_6_6_2.dat,3,1232.000000,vnd,3,2604.105720,90.710943,2604.105720,90.710943,60.819716,9.543436,0;1;2
MTLARP5_6_6_2.dat,3,1232.000000,vns,3,2531.151880,44.901772,2531.151880,44.901772,88.205681,6.385779,0;1;2
MTLARP5_6_6_2.dat,4,1232.000000,lns,3,2111.297153,15.933920,2111.297153,15.933920,95.731962,7.619357,0;1;2
MTLARP5_6_6_2.dat,4,1232.000000,vnd,3,2150.916356,20.478941,2150.916356,20.478941,72.203804,1.457620,0;1;2
MTLARP5_6_6_2.dat,4,1232.000000,vns,3,2127.774799,27.265643,2127.774799,27.265643,96.302438,9.098014,0;1;2
MTLARP5_6_6_2.dat,5,1232.000000,lns,3,1845.240995,83.338390,1845.240995,83.338390,100.033498,7.285800,0;1;2
MTLARP5_6_6_2.dat,5,1232.000000,vnd,3,1937.282452,16.907998,1937.282452,16.907998,90.295690,6.642991,0;1;2
MTLARP5_6_6_2.dat,5,1232.000000,vns,3,1907.151906,32.084235,1907.151906,32.084235,101.363490,4.196758,0;1;2
