Trial,Seed,Parameters,Algorithm,Instance,Base,Flight Limit,Trucks Used,Trucks Submitted,Objective,Paper Makespan,Time,Flight Optimizer,Convergence Iterations,Convergence Count,Convergence First Objective,Convergence Final Objective,Convergence Improvement,Convergence Improvement Percent
35,1,vnd_default,vnd,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1889.344060,1889.344060,44.221641,bc,0;1,2,1902.933851,1889.344060,13.589791,0.714149
36,2,vnd_default,vnd,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1933.484147,1933.484147,41.157278,bc,0;1,2,1933.484147,1933.484147,0.000000,0.000000
37,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3690.248687,3690.248687,134.746751,bc,initial@0;restart_elite@30;restart_new_pool@60;restart_elite@90;final@100,5,3690.248687,3690.248687,0.000000,0.000000
38,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3690.248687,3690.248687,148.102219,bc,initial@0;restart_new_pool@30;restart_new_pool@60;restart_elite@90;final@100,5,3690.248687,3690.248687,0.000000,0.000000
39,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3690.248687,3690.248687,140.705120,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,3690.248687,3690.248687,0.000000,0.000000
40,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3690.248687,3690.248687,128.760504,bc,initial_pool@0,1,3690.248687,3690.248687,0.000000,0.000000
41,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3690.248687,3690.248687,110.545061,bc,initial_pool@0,1,3690.248687,3690.248687,0.000000,0.000000
42,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3690.248687,3690.248687,111.451366,bc,initial_pool@0,1,3690.248687,3690.248687,0.000000,0.000000
43,0,vnd_default,vnd,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3696.523584,3696.523584,105.308430,bc,0;1,2,3785.254765,3696.523584,88.731181,2.344127
44,1,vnd_default,vnd,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3690.248687,3690.248687,96.911997,bc,0;1,2,3690.248687,3690.248687,0.000000,0.000000
45,2,vnd_default,vnd,MTLARP5_5_4_2.dat,24,1010.000000,2,2,3690.248687,3690.248687,103.142527,bc,0;1,2,3690.248687,3690.248687,0.000000,0.000000
46,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2620.279150,2620.279150,211.977385,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,2620.279150,2620.279150,0.000000,0.000000
47,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2704.979196,2704.979196,180.314344,bc,initial@0;improvement@14;improvement@19;restart_new_pool@49;restart_new_pool@79;final@100,6,2764.169709,2704.979196,59.190513,2.141349
48,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2638.322464,2638.322464,152.705844,bc,initial@0;improvement@6;improvement@27;improvement@43;restart_new_pool@73;final_splitting@100,6,2790.383752,2638.322464,152.061288,5.449476
49,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2556.816265,2556.816265,215.936415,bc,initial_pool@0;candidate2:splitting@2;candidate5:splitting@5,3,2620.279150,2556.816265,63.462885,2.421989
